analyte,dissolved,hardness,toxicity,table,limit
nickel,dissolved,75,acute,table33a,367.0848211
nickel ,dissolved,75,acute,table20,1109.642246
silver,dissolved,75,acute,table33a,1.961208031
silver ,dissolved,75,acute,table20,2.103411659
zinc,dissolved,75,acute,table33a,91.83211469
zinc ,dissolved,75,acute,table20,89.69025019
cadmium,dissolved,100,acute,table33a,2.013728222
cadmium ,dissolved,100,acute,table20,3.702483459
chromium ,dissolved,100,acute,table33a,569.7634741
chromium  ,dissolved,100,acute,table20,548.7381211
copper,dissolved,100,acute,table33a,13.43911325
copper ,dissolved,100,acute,table20,17.01625995
lead,dissolved,100,acute,table33a,64.58138158
nickel,dissolved,100,acute,table33a,468.235781
nickel ,dissolved,100,acute,table20,1415.406396
silver,dissolved,100,acute,table33a,3.216757261
silver ,dissolved,100,acute,table20,3.44999848
zinc,dissolved,100,acute,table33a,117.1804541
zinc ,dissolved,100,acute,table20,114.4473726
